Số hiệu chuyến bay,Khởi hành,Đến,Airbus,SkyBOSS_Business,SkyBOSS,Deluxe,Eco
VJ644,"21:35, 20/01/2025 (Giờ địa phương)","22:55, 20/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ638,"22:15, 20/01/2025 (Giờ địa phương)","23:35, 20/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ636,"22:50, 20/01/2025 (Giờ địa phương)","00:10, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","1,670","1,120"
VJ620,"05:15, 21/01/2025 (Giờ địa phương)","06:35, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ642,"06:05, 21/01/2025 (Giờ địa phương)","07:25, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ622,"07:25, 21/01/2025 (Giờ địa phương)","08:45, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1650,"10:00, 21/01/2025 (Giờ địa phương)","11:20, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1626,"10:45, 21/01/2025 (Giờ địa phương)","12:05, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ624,"12:35, 21/01/2025 (Giờ địa phương)","13:50, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1630,"14:35, 21/01/2025 (Giờ địa phương)","15:50, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1632,"16:35, 21/01/2025 (Giờ địa phương)","17:55, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1634,"19:05, 21/01/2025 (Giờ địa phương)","20:25, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ640,"21:00, 21/01/2025 (Giờ địa phương)","22:20, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ644,"21:35, 21/01/2025 (Giờ địa phương)","22:55, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1654,"22:00, 21/01/2025 (Giờ địa phương)","23:20, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ638,"22:15, 21/01/2025 (Giờ địa phương)","23:35, 21/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ636,"22:50, 21/01/2025 (Giờ địa phương)","00:10, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1656,"04:55, 22/01/2025 (Giờ địa phương)","06:15, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ620,"05:15, 22/01/2025 (Giờ địa phương)","06:35, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ642,"06:05, 22/01/2025 (Giờ địa phương)","07:25, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ622,"07:25, 22/01/2025 (Giờ địa phương)","08:45, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1626,"10:45, 22/01/2025 (Giờ địa phương)","12:05, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ624,"12:35, 22/01/2025 (Giờ địa phương)","13:50, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1652,"14:20, 22/01/2025 (Giờ địa phương)","15:40, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1630,"14:35, 22/01/2025 (Giờ địa phương)","15:50, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1632,"16:35, 22/01/2025 (Giờ địa phương)","17:55, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1620,"17:00, 22/01/2025 (Giờ địa phương)","18:20, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1634,"19:05, 22/01/2025 (Giờ địa phương)","20:25, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ640,"21:00, 22/01/2025 (Giờ địa phương)","22:20, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ644,"21:35, 22/01/2025 (Giờ địa phương)","22:55, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ638,"22:15, 22/01/2025 (Giờ địa phương)","23:35, 22/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ636,"22:50, 22/01/2025 (Giờ địa phương)","00:10, 23/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ1656,04:55 23 tháng 1,06:15 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ620,05:15 23 tháng 1,06:35 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ642,06:05 23 tháng 1,07:25 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ622,07:25 23 tháng 1,08:45 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1626,10:45 23 tháng 1,12:05 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ624,12:35 23 tháng 1,13:50 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1652,14:20 23 tháng 1,15:40 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1630,14:35 23 tháng 1,15:50 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1632,16:35 23 tháng 1,17:55 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
